   id             ra            dec              x              y          major          minor         orient        offaxis            azi      srccounts         ctrate     ctrate_err           flux            sig       p(point)  sizetest pntcon?  r1con?
    1      24.905296     -54.616888        407.833        204.833        3.14512        3.14512        468.853      11.593205      260.16858      34.452956  0.00032508288    5.77779e-05  3.2508288e-15  2.5277903e-11     0.73500000        ok      ok      ok
    2      25.412903     -54.505376        164.333        297.333        3.18445        3.18445        293.891      7.3087339      85.206025      19.310798  0.00020345624    4.49574e-05  2.0345624e-15  1.5115427e-05     0.79000000        ok      ok      ok
    3      25.083357     -54.723201        322.333        117.125        3.10282        3.10282        514.719      11.175404      306.03480      132.05783   0.0012389017    9.78036e-05  1.2389017e-14  4.3974384e-84    0.060000000        ok      ok      ok
    4      25.175068     -54.721609        278.500        118.500        2.91548        2.91548        530.945      10.131685      322.26022      22.356443  0.00019930328    4.49091e-05  1.9930328e-15  1.1889670e-05     0.69500000        ok      ok      ok
    5      25.053030     -54.715873        336.842        123.158        3.18464        3.18464        508.933      11.286631      300.24826      101.94554  0.00096646563    8.55862e-05  9.6646565e-15  4.6144827e-57     0.42500000        ok      ok      ok
    6      25.295017     -54.710752        221.158        127.474        2.89026        2.89026        555.320      9.6994736      346.63551      120.73334   0.0011686634    9.26728e-05  1.1686634e-14  1.0042866e-65    0.045000000        ok      ok      ok
    7      24.917276     -54.673777        401.889        157.778        3.12771        3.12771        484.180      12.740926      275.49529      42.856820  0.00044366380    6.55829e-05  4.4366381e-15  1.5370957e-15     0.82000000        ok      ok      ok
    8      25.048909     -54.672498        338.900        159.050        3.02697        3.02697        499.787      9.2523276      291.10246      113.20207  0.00099716061    8.48211e-05  9.9716063e-15  1.1878446e-67     0.79000000        ok      ok      ok
    9      25.044598     -54.654773        341.000        173.714        2.98359        2.98359        494.417      8.5764011      285.73231      30.717417  0.00026644738    4.74966e-05  2.6644738e-15  2.9694402e-11     0.94500000        ok      ok      ok
   10      25.331166     -54.644394        203.789        182.368        3.21169        3.21169        215.415      6.5952923      6.7307093      120.01816   0.0011254254    9.35514e-05  1.1254254e-14  5.1047745e-52     0.16000000        ok      ok      ok
   11      25.078080     -54.636950        325.000        188.500        3.16228        3.16228        494.795      6.9977503      286.11035      35.481095  0.00028511543    5.43365e-05  2.8511543e-15  6.5244409e-12     0.73500000        ok      ok      ok
   12      25.294946     -54.633840        221.125        191.125        3.89310        3.89310        568.420      5.3896509      359.73542      45.412561  0.00036154394    6.44030e-05  3.6154395e-15  6.3449890e-06     0.70000000        ok      ok      ok
   13      25.038326     -54.633647        344.048        191.190        3.15380        3.15380        486.727      7.9187106      278.04222      108.75472  0.00074667803    6.58355e-05  7.4667804e-15  1.2409012e-53     0.96000000        ok      ok      ok
   14      24.960342     -54.634700        381.400        190.200        3.13847        3.13847        477.964      10.251773      269.27902      16.758050  0.00014059022    3.95264e-05  1.4059023e-15  9.0897608e-05     0.71000000        ok      ok      ok
   15      25.088555     -54.626087        320.000        197.500        3.16228        3.16228        492.902      6.2842063      284.21697      32.356649  0.00022503324    4.32669e-05  2.2503325e-15  2.2317188e-08    0.010000000        ok      ok      ok
   16      25.117614     -54.618524        306.087        203.783        3.32289        3.32289        496.759      5.2471114      288.07425      178.55030   0.0016503027    0.000122269  1.6503027e-14  4.4671059e-91     0.30000000        ok      ok      ok
   17      24.849734     -54.607467        434.500        212.500        3.16228        3.16228        463.887      13.293120      255.20225      29.443119  0.00031380470    5.83690e-05  3.1380471e-15  4.7128080e-09     0.55000000        ok      ok      ok
   18      25.476621     -54.600153        134.000        218.800        3.08059        3.08059        252.892      9.2928423      44.207704      32.442094  0.00044495011    7.66577e-05  4.4495012e-15  2.1974526e-12     0.33500000        ok      ok      ok
