id    ra              dec             x               y               major           minor           orient          offaxis         azi             srccounts       ctrate          ctrate_err      flux            sig             p(point)          sizetest pntcon?  r1con?
1     24.9893         -54.4619        368             333.286         4.07232         4.07232         415.447         9.81463         206.762         26.2766         0.000545094     0.000131007     5.45094e-15     2.35408e-08     0.33                    ok      ok      ok
2     24.9053         -54.6169        407.833         204.833         3.14512         3.14512         468.853         11.5932         260.169         33.9755         0.000320393     5.6956e-05      3.20393e-15     6.1411e-11      0.82                    ok      ok      ok
3     25.4129         -54.5054        164.333         297.333         3.18446         3.18446         246.109         7.30873         37.4248         19.3258         0.000203613     4.49574e-05     2.03613e-15     1.48389e-05     0.845                   ok      ok      ok
4     25.0834         -54.7232        322.333         117.125         3.10282         3.10282         514.719         11.1754         306.035         132.793         0.00124587      9.78359e-05     1.24587e-14     1.64775e-86     0.05                    ok      ok      ok
5     25.1751         -54.7216        278.5           118.5           2.91548         2.91548         530.945         10.1317         322.26          22.5555         0.000201074     4.49091e-05     2.01074e-15     9.61887e-06     0.765                   ok      ok      ok
6     25.053          -54.7159        336.842         123.158         3.18464         3.18464         508.933         11.2866         300.248         101.805         0.000965131     8.52906e-05     9.65131e-15     1.01917e-56     0.57                    ok      ok      ok
7     25.295          -54.7108        221.158         127.474         2.89027         2.89027         555.32          9.69947         346.636         120.591         0.00120009      9.26626e-05     1.20009e-14     7.24096e-67     0.045                   ok      ok      ok
8     24.9173         -54.6738        401.889         157.778         3.12772         3.12772         484.18          12.7409         275.495         43.5258         0.000450483     6.55784e-05     4.50483e-15     3.07872e-16     0.805                   ok      ok      ok
9     25.0489         -54.6725        338.9           159.05          3.02696         3.02696         499.787         9.25233         291.102         111.21          0.000982098     8.41176e-05     9.82098e-15     1.21974e-67     0.885                   ok      ok      ok
10    25.0446         -54.6548        341             173.714         2.98359         2.98359         494.417         8.5764          285.732         31.0021         0.000274462     4.74792e-05     2.74462e-15     1.57143e-11     0.95                    ok      ok      ok
11    25.3312         -54.6444        203.789         182.368         3.21169         3.21169         215.415         6.59529         6.73071         116.664         0.00109399      9.20639e-05     1.09399e-14     6.29806e-52     0.28                    ok      ok      ok
12    25.0781         -54.637         325             188.5           2.91548         2.91548         494.795         6.99775         286.11          36.5001         0.000306614     5.29965e-05     3.06614e-15     4.32805e-14     0.755                   ok      ok      ok
13    25.2949         -54.6338        221.125         191.125         3.8931          3.8931          568.42          5.38965         359.735         43.5335         0.000351932     6.40747e-05     3.51932e-15     1.57464e-05     0.98                    ok      ok      ok
14    25.0383         -54.6336        344.048         191.19          3.15379         3.15379         486.727         7.91871         278.042         107.913         0.000747439     6.51512e-05     7.47439e-15     2.3202e-54      0.985                   ok      ok      ok
15    24.9603         -54.6347        381.4           190.2           3.13847         3.13847         477.964         10.2518         269.279         16.6157         0.000139356     3.93406e-05     1.39356e-15     7.411e-05       0.755                   ok      ok      ok
16    25.0886         -54.6261        320             197.5           3.04138         3.04138         492.902         6.28421         284.217         32.6285         0.000239209     4.25672e-05     2.39209e-15     9.89598e-09     0.535                   ok      ok      ok
17    25.1176         -54.6185        306.087         203.783         3.59356         3.59356         496.759         5.24711         288.074         188.069         0.00167201      0.000124709     1.67201e-14     5.47306e-94     0.23                    ok      ok      ok
18    24.8497         -54.6075        434.5           212.5           3.16228         3.16228         463.887         13.2931         255.202         29.3306         0.000312603     5.8369e-05      3.12603e-15     5.65279e-09     0.64                    ok      ok      ok
19    25.4766         -54.6002        134             218.8           3.02324         3.02324         252.892         9.29284         44.2077         32.5225         0.000444077     7.64269e-05     4.44077e-15     7.23981e-13     0.925                   ok      ok      ok
20    25.2221         -54.6008        256             218.5           3.53553         3.53553         540.762         2.75566         332.078         70.0357         0.000363243     4.78522e-05     3.63243e-15     5.31145e-07     1.0                     ok      ok      ok
21    24.9577         -54.5885        382.8           228.4           2.98329         2.98329         462.546         9.38033         253.862         21.9894         0.000200079     4.39006e-05     2.00079e-15     1.57433e-06     0.285                   ok      ok      ok
22    24.899          -54.5828        411             233             3.16228         3.16228         458.651         11.3297         249.966         114.964         0.00104557      9.24158e-05     1.04557e-14     5.2079e-68      0.945                   ok      ok      ok
23    25.0126         -54.5758        356.5           239             3.16228         3.16228         459.93          7.35984         251.245         63.8493         0.000422146     5.33542e-05     4.22146e-15     1.70733e-23     0.96                    ok      ok      ok
24    25.1784         -54.5742        277             240.5           3.20156         3.20156         487.989         1.88528         279.305         349.92          0.00185761      8.42132e-05     1.85761e-14     6.2558e-164     0.585                   ok      ok      ok
25    25.3513         -54.5584        194             253.5           3.04138         3.04138         267.247         4.5369          58.5623         199.038         0.00166747      9.93735e-05     1.66747e-14     2.41235e-133    0.1                     ok      ok      ok
26    24.8089         -54.557         454.312         254.188         4.51538         4.51538         450.671         14.3419         241.987         61.9288         0.000905937     0.000128768     9.05937e-15     5.4445e-21      0.195                   ok      ok      ok
27    25.3603         -54.5197        189.625         285.562         3.06553         3.06553         246.518         5.28669         37.8329         76.5744         0.000606609     6.61222e-05     6.06609e-15     1.23403e-35     0.695                   ok      ok      ok
